,"DATE","TIME","CLOSE","HIGH","LOW","OPEN","VOLUME"
0,"2017-01-23","09:01:00","9.564","9.564","9.533","9.544","25280.0"
1,"2017-01-23","09:04:00","9.552","9.552","9.552","9.552","788.0"
2,"2017-01-23","09:05:00","9.552","9.552","9.552","9.552","820.0"
3,"2017-01-23","09:06:00","9.548","9.552","9.548","9.552","988.0"
4,"2017-01-23","09:07:00","9.549","9.549","9.549","9.549","970.0"
5,"2017-01-23","09:08:00","9.544","9.549","9.544","9.549","850.0"
6,"2017-01-23","09:10:00","9.541","9.542","9.541","9.542","893.0"
7,"2017-01-23","09:12:00","9.536","9.536","9.536","9.536","260.0"
8,"2017-01-23","09:13:00","9.52","9.521","9.52","9.521","1602.0"
9,"2017-01-23","09:15:00","9.533999999999999","9.533999999999999","9.527999999999999","9.527999999999999","1591.0"
10,"2017-01-23","09:17:00","9.547","9.547","9.537","9.542","6645.0"
11,"2017-01-23","09:18:00","9.547","9.548","9.547","9.548","505.0"
12,"2017-01-23","09:19:00","9.559","9.559","9.554","9.554","3677.0"
13,"2017-01-23","09:20:00","9.58","9.582","9.562999999999999","9.562999999999999","7320.0"
14,"2017-01-23","09:21:00","9.582","9.582","9.57","9.57","574.0"
15,"2017-01-23","09:22:00","9.58","9.58","9.58","9.58","7694.0"
16,"2017-01-23","09:27:00","9.59","9.59","9.585","9.585","1954.0"
17,"2017-01-23","09:28:00","9.59","9.59","9.589","9.59","5357.0"
18,"2017-01-23","09:31:00","9.577","9.577","9.577","9.577","2788.0"
19,"2017-01-23","09:32:00","9.571","9.575","9.571","9.575","401.0"
20,"2017-01-23","09:33:00","9.571","9.571","9.571","9.571","32.0"
21,"2017-01-23","09:34:00","9.571","9.571","9.57","9.57","1840.0"
22,"2017-01-23","09:35:00","9.57","9.57","9.57","9.57","470.0"
23,"2017-01-23","09:36:00","9.567","9.567","9.567","9.567","55.0"
24,"2017-01-23","09:37:00","9.57","9.57","9.567","9.567","991.0"
25,"2017-01-23","09:40:00","9.576","9.576","9.57","9.57","1603.0"
26,"2017-01-23","09:41:00","9.564","9.564","9.548","9.564","11762.0"
27,"2017-01-23","09:42:00","9.57","9.57","9.558","9.558","1567.0"
28,"2017-01-23","09:44:00","9.573","9.573","9.572000000000001","9.572000000000001","1300.0"
29,"2017-01-23","09:46:00","9.568","9.568","9.568","9.568","104.0"
30,"2017-01-23","09:47:00","9.562999999999999","9.562999999999999","9.562999999999999","9.562999999999999","1156.0"
31,"2017-01-23","09:49:00","9.561","9.562999999999999","9.561","9.562999999999999","293.0"
32,"2017-01-23","09:52:00","9.57","9.57","9.57","9.57","500.0"
33,"2017-01-23","09:54:00","9.57","9.571","9.568999999999999","9.57","3673.0"
34,"2017-01-23","09:56:00","9.564","9.564","9.564","9.564","772.0"
35,"2017-01-23","09:57:00","9.57","9.57","9.57","9.57","260.0"
36,"2017-01-23","09:58:00","9.562999999999999","9.562999999999999","9.562999999999999","9.562999999999999","145.0"
37,"2017-01-23","10:00:00","9.566","9.566","9.566","9.566","447.0"
38,"2017-01-23","10:01:00","9.565","9.566","9.565","9.566","2756.0"
39,"2017-01-23","10:02:00","9.566","9.566","9.564","9.564","3476.0"
40,"2017-01-23","10:04:00","9.561","9.562999999999999","9.561","9.562999999999999","307.0"
41,"2017-01-23","10:06:00","9.561","9.561","9.561","9.561","317.0"
42,"2017-01-23","10:09:00","9.562000000000001","9.562000000000001","9.56","9.561","1453.0"
43,"2017-01-23","10:10:00","9.566","9.567","9.562999999999999","9.562999999999999","1669.0"
44,"2017-01-23","10:11:00","9.568","9.568","9.568","9.568","398.0"
45,"2017-01-23","10:14:00","9.568","9.568","9.568","9.568","3447.0"
46,"2017-01-23","10:15:00","9.572000000000001","9.572000000000001","9.561","9.568","2773.0"
47,"2017-01-23","10:16:00","9.568999999999999","9.568999999999999","9.568999999999999","9.568999999999999","595.0"
48,"2017-01-23","10:18:00","9.576","9.576","9.573","9.573","2163.0"
