timestamp,value,is_anomaly
1416726000,330.577449191165,0
1416729600,-8.95279339164018,0
1416733200,498.310023650721,0
1416736800,557.956500231619,0
1416740400,408.06796071831,0
1416744000,-28.9181450144307,0
1416747600,202.779707653222,0
1416751200,439.104539063794,0
1416754800,583.979049616121,0
1416758400,1280.93024579447,0
1416762000,918.630231268417,0
1416765600,574.809336300443,0
1416769200,545.654690075444,0
1416772800,829.138479228743,0
1416776400,883.574917601117,0
1416780000,908.577236386759,0
1416783600,1133.30235264347,0
1416787200,883.207589071221,0
1416790800,1275.14170297598,0
1416794400,880.637197581998,0
1416798000,1183.96787873884,0
1416801600,1376.42295298542,0
1416805200,1344.60102153291,0
1416808800,1547.9407001787,0
1416812400,1347.68189026924,0
1416816000,1514.79397169522,0
1416819600,1683.67377577729,0
1416823200,1233.0097816819,0
1416826800,1087.21999795395,0
1416830400,1439.91546157856,0
1416834000,1367.47578208424,0
1416837600,1284.63145578174,0
1416841200,1306.62642194814,0
1416844800,1239.68975135996,0
1416848400,1584.48386035594,0
1416852000,1677.21283109462,0
1416855600,1613.49562501808,0
1416859200,1216.69745322865,0
1416862800,1622.61227301462,0
1416866400,1193.56146907052,0
1416870000,1688.87644486587,0
1416873600,1336.6535887736,0
1416877200,1029.11434509255,0
1416880800,884.000639166141,0
1416884400,747.575563001198,0
1416888000,721.972531404404,0
1416891600,537.289537413154,0
1416895200,1190.09829335464,0
1416898800,1045.8363062355,0
1416902400,707.564045810529,0
1416906000,772.555265338061,0
1416909600,539.124843150648,0
1416913200,1207.33322923278,0
1416916800,293.780713482431,0
1416920400,416.999233186712,0
1416924000,425.498130970534,0
1416927600,449.595804006321,0
1416931200,170.542242109436,0
1416934800,-437.931302223559,0
1416938400,-260.63128647274,0
1416942000,89.4307875069375,0
1416945600,-80.2752959704703,0
1416949200,-395.713299032077,0
1416952800,-252.654289306177,0
1416956400,-506.553065438307,0
1416960000,-301.036172450689,0
1416963600,-805.435526908338,0
1416967200,-405.791544456926,0
1416970800,-502.689412780549,0
1416974400,-614.924112335968,0
1416978000,-689.435700093771,0
1416981600,-687.594616487868,0
1416985200,-982.156499996812,0
1416988800,-899.387211645191,0
1416992400,-747.81924223231,0
1416996000,-683.883716760232,0
1416999600,-980.849965132276,0
1417003200,-1093.1698237164,0
1417006800,-1341.34507212895,0
